,max_thr,max_pair_thr,max_area_thr,num_true_pairs,num_total_pairs,precision
2995,80,80,75,30,128,0.234375
2996,80,80,80,30,130,0.23076923076923078
2997,80,80,85,30,133,0.22556390977443608
2998,80,80,90,31,138,0.2246376811594203
2999,80,80,95,31,139,0.22302158273381295
3000,85,0,0,10,25,0.4
3001,85,0,5,10,25,0.4
3002,85,0,10,10,25,0.4
3003,85,0,15,10,25,0.4
3004,85,0,20,10,25,0.4
3005,85,0,25,10,25,0.4
3006,85,0,30,10,25,0.4
3007,85,0,35,10,25,0.4
3008,85,0,40,10,25,0.4
3009,85,0,45,10,25,0.4
3010,85,0,50,10,25,0.4
3011,85,0,55,10,25,0.4
3012,85,0,60,10,25,0.4
3013,85,0,65,10,25,0.4
3014,85,0,70,10,25,0.4
3015,85,0,75,10,25,0.4
3016,85,0,80,10,25,0.4
3017,85,0,85,10,25,0.4
3018,85,0,90,10,25,0.4
3019,85,0,95,10,25,0.4
3020,85,5,0,10,25,0.4
3021,85,5,5,10,25,0.4
3022,85,5,10,10,25,0.4
3023,85,5,15,10,25,0.4
3024,85,5,20,10,25,0.4
3025,85,5,25,10,25,0.4
3026,85,5,30,10,25,0.4
3027,85,5,35,10,25,0.4
3028,85,5,40,10,25,0.4
3029,85,5,45,10,25,0.4
3030,85,5,50,10,25,0.4
3031,85,5,55,10,25,0.4
3032,85,5,60,10,25,0.4
3033,85,5,65,10,25,0.4
3034,85,5,70,10,25,0.4
3035,85,5,75,10,25,0.4
3036,85,5,80,10,25,0.4
3037,85,5,85,10,25,0.4
3038,85,5,90,10,25,0.4
3039,85,5,95,10,25,0.4
3040,85,10,0,10,25,0.4
3041,85,10,5,11,26,0.4230769230769231
3042,85,10,10,11,26,0.4230769230769231
3043,85,10,15,11,26,0.4230769230769231
3044,85,10,20,11,26,0.4230769230769231
3045,85,10,25,11,26,0.4230769230769231
3046,85,10,30,11,26,0.4230769230769231
3047,85,10,35,11,26,0.4230769230769231
3048,85,10,40,11,26,0.4230769230769231
3049,85,10,45,11,26,0.4230769230769231
3050,85,10,50,11,26,0.4230769230769231
3051,85,10,55,11,26,0.4230769230769231
3052,85,10,60,11,26,0.4230769230769231
3053,85,10,65,11,26,0.4230769230769231
3054,85,10,70,11,26,0.4230769230769231
3055,85,10,75,11,26,0.4230769230769231
3056,85,10,80,11,26,0.4230769230769231
3057,85,10,85,11,26,0.4230769230769231
3058,85,10,90,11,26,0.4230769230769231
3059,85,10,95,11,26,0.4230769230769231
3060,85,15,0,10,25,0.4
3061,85,15,5,13,29,0.4482758620689655
3062,85,15,10,15,32,0.46875
3063,85,15,15,16,36,0.4444444444444444
3064,85,15,20,16,38,0.42105263157894735
3065,85,15,25,16,39,0.41025641025641024
3066,85,15,30,16,39,0.41025641025641024
3067,85,15,35,16,41,0.3902439024390244
3068,85,15,40,16,43,0.37209302325581395
3069,85,15,45,17,45,0.37777777777777777
3070,85,15,50,17,45,0.37777777777777777
3071,85,15,55,19,47,0.40425531914893614
3072,85,15,60,19,47,0.40425531914893614
3073,85,15,65,19,47,0.40425531914893614
